Station Name,SURREY WHITE ROCK,,,,,,,,,,,,,,,,,,,,,,,,,
Province,BRITISH COLUMBIA,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,49.03,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-122.77,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,54.9,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,1107H7R,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Accumulated,,,,,,,,,,,,,,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,,,,,,,,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,,,,,,,,,,,,,,,,,,,
S,More than one occurrence,,,,,,,,,,,,,,,,,,,,,,,,,
T,Trace,,,,,,,,,,,,,,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,,,,,,,,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
?,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (¡ãC),Max Temp Flag,Min Temp (¡ãC),Min Temp Flag,Mean Temp (¡ãC),Mean Temp Flag,Heat Deg Days (¡ãC),Heat Deg Days Flag,Cool Deg Days (¡ãC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Ê±¼ä,,,,,,,,,,,,,,,,,,,,,,,,,,
1987/1/1,1987,1,1,,9.5,,4.5,,7,,11,,0,,7,,0,,7,,0,,,,,
1987/1/2,1987,1,2,,10.5,,5.5,,8,,10,,0,,11.4,,0,,11.4,,0,,,,,
1987/1/3,1987,1,3,,10.5,,5,,7.8,,10.2,,0,,2.7,,0,,2.7,,0,,,,,
1987/1/4,1987,1,4,,6.5,,5.5,,6,,12,,0,,4.5,,0,,4.5,,0,,,,,
1987/1/5,1987,1,5,,8,,1,,4.5,,13.5,,0,,0,,0,,0,,0,,,,,
1987/1/6,1987,1,6,,7.5,,-1.5,,3,,15,,0,,0,,0,,0,,0,,,,,
1987/1/7,1987,1,7,,5,,-3,,1,,17,,0,,0,,0,,0,,0,,,,,
1987/1/8,1987,1,8,,6,,-2.5,,1.8,,16.2,,0,,0,,0,,0,,0,,,,,
1987/1/9,1987,1,9,,7,,1,,4,,14,,0,,5.3,,0,,5.3,,0,,,,,
1987/1/10,1987,1,10,,13,,4.5,,8.8,,9.2,,0,,9.6,,0,,9.6,,0,,,,,
1987/1/11,1987,1,11,,14,,10,,12,,6,,0,,16.5,,0,,16.5,,0,,,,,
1987/1/12,1987,1,12,,8.5,,6.5,,7.5,,10.5,,0,,1.3,,0,,1.3,,0,,,,,
1987/1/13,1987,1,13,,7,,0,,3.5,,14.5,,0,,0,T,0,T,0,T,0,,,,,
1987/1/14,1987,1,14,,4,,-4,,0,,18,,0,,0,,0,,0,,0,T,,,,
1987/1/15,1987,1,15,,0.5,,-5.5,,-2.5,,20.5,,0,,0,,0,,0,,0,T,,,,
1987/1/16,1987,1,16,,3.5,,-4.5,,-0.5,,18.5,,0,,0,,0,,0,,0,T,,,,
1987/1/17,1987,1,17,,1.5,,-4.5,,-1.5,,19.5,,0,,3.8,,0,T,3.8,,0,T,,,,
1987/1/18,1987,1,18,,4,,0.5,,2.3,,15.7,,0,,0,,0,,0,,0,T,,,,
1987/1/19,1987,1,19,,4.5,,-1.5,,1.5,,16.5,,0,,0,,0,,0,,0,T,,,,
1987/1/20,1987,1,20,,4.5,,0,,2.3,,15.7,,0,,0,,0,,0,,0,,,,,
1987/1/21,1987,1,21,,7.5,,-2,,2.8,,15.2,,0,,0,,0,,0,,0,,,,,
1987/1/22,1987,1,22,,8,,0,,4,,14,,0,,1.7,,0,,1.7,,0,,,,,
1987/1/23,1987,1,23,,6,,2,,4,,14,,0,,11.1,,0,,11.1,,0,,,,,
1987/1/24,1987,1,24,,7,,4,,5.5,,12.5,,0,,2.3,,0,,2.3,,0,,,,,
1987/1/25,1987,1,25,,7.5,,3.5,,5.5,,12.5,,0,,0.8,,0,,0.8,,0,,,,,
1987/1/26,1987,1,26,,5,,1.5,,3.3,,14.7,,0,,5.2,,0,,5.2,,0,,,,,
1987/1/27,1987,1,27,,9,,1.5,,5.3,,12.7,,0,,6.4,,0,,6.4,,0,,,,,
1987/1/28,1987,1,28,,9,,5,,7,,11,,0,,8.8,,0,,8.8,,0,,,,,
1987/1/29,1987,1,29,,11,,7,,9,,9,,0,,0.6,,0,,0.6,,0,,,,,
1987/1/30,1987,1,30,,10,,6.5,,8.3,,9.7,,0,,6.6,,0,,6.6,,0,,,,,
1987/1/31,1987,1,31,,7,,3,,5,,13,,0,,20,,0,,20,,0,,,,,
1987/2/1,1987,2,1,,10,,1,,5.5,,12.5,,0,,0,,0,,0,,0,,,,,
1987/2/2,1987,2,2,,8.5,,0.5,,4.5,,13.5,,0,,0.3,,0,,0.3,,0,,,,,
1987/2/3,1987,2,3,,10,,4,,7,,11,,0,,7.3,,0,,7.3,,0,,,,,
1987/2/4,1987,2,4,,12,,5.5,,8.8,,9.2,,0,,4.2,,0,,4.2,,0,,,,,
1987/2/5,1987,2,5,,13,,7.5,,10.3,,7.7,,0,,0,,0,,0,,0,,,,,
1987/2/6,1987,2,6,,16,,3.5,,9.8,,8.2,,0,,0,,0,,0,,0,,,,,
1987/2/7,1987,2,7,,13,,1.5,,7.3,,10.7,,0,,0,,0,,0,,0,,,,,
1987/2/8,1987,2,8,,12.5,,3,,7.8,,10.2,,0,,0,,0,,0,,0,,,,,
1987/2/9,1987,2,9,,13.5,,5,,9.3,,8.7,,0,,0.8,,0,,0.8,,0,,,,,
1987/2/10,1987,2,10,,13.5,,7.5,,10.5,,7.5,,0,,4.3,,0,,4.3,,0,,,,,
1987/2/11,1987,2,11,,11.5,,8.5,,10,,8,,0,,7.1,,0,,7.1,,0,,,,,
1987/2/12,1987,2,12,,12.5,,6,,9.3,,8.7,,0,,4.1,,0,,4.1,,0,,,,,
1987/2/13,1987,2,13,,11.5,,7,,9.3,,8.7,,0,,2.3,,0,,2.3,,0,,,,,
1987/2/14,1987,2,14,,11,,4.5,,7.8,,10.2,,0,,0,,0,,0,,0,,,,,
1987/2/15,1987,2,15,,9,,5,,7,,11,,0,,3.6,,0,,3.6,,0,,,,,
1987/2/16,1987,2,16,,8,,6.5,,7.3,,10.7,,0,,2.4,,0,,2.4,,0,,,,,
1987/2/17,1987,2,17,,6.5,,2,,4.3,,13.7,,0,,2.3,,0,,2.3,,0,,,,,
1987/2/18,1987,2,18,,7,,2,,4.5,,13.5,,0,,2.8,,0,,2.8,,0,,,,,
1987/2/19,1987,2,19,,7,,5,,6,,12,,0,,0,T,0,,0,T,0,,,,,
1987/2/20,1987,2,20,,9,,5,,7,,11,,0,,0.4,,0,,0.4,,0,,,,,
1987/2/21,1987,2,21,,9.5,,4.5,,7,,11,,0,,0,,0,,0,,0,,,,,
1987/2/22,1987,2,22,,9,,2,,5.5,,12.5,,0,,0.4,,0,,0.4,,0,,,,,
1987/2/23,1987,2,23,,12.5,,-1.5,,5.5,,12.5,,0,,0,,0,,0,,0,,,,,
1987/2/24,1987,2,24,,10.5,,0,,5.3,,12.7,,0,,0,,0,,0,,0,,,,,
1987/2/25,1987,2,25,,10,,0.5,,5.3,,12.7,,0,,0,,0,,0,,0,,,,,
1987/2/26,1987,2,26,,9,,1,,5,,13,,0,,0.7,,0,,0.7,,0,,,,,
1987/2/27,1987,2,27,,8.5,,0.5,,4.5,,13.5,,0,,0,,0,,0,,0,,,,,
1987/2/28,1987,2,28,,6,,-2,,2,,16,,0,,4.8,E,1,E,5.8,E,0,,,,,
1987/3/1,1987,3,1,,7.5,,0,,3.8,,14.2,,0,,18.4,,0,,18.4,,0,,,,,
1987/3/2,1987,3,2,,11,,2.5,,6.8,,11.2,,0,,38.8,,0,,38.8,,0,,,,,
1987/3/3,1987,3,3,,13.5,,5,,9.3,,8.7,,0,,11.7,,0,,11.7,,0,,,,,
1987/3/4,1987,3,4,,14.5,,9.5,,12,,6,,0,,2.1,,0,,2.1,,0,,,,,
1987/3/5,1987,3,5,,13,,9.5,,11.3,,6.7,,0,,11.5,,0,,11.5,,0,,,,,
1987/3/6,1987,3,6,,12.5,,7,,9.8,,8.2,,0,,0,,0,,0,,0,,,,,
1987/3/7,1987,3,7,,13.5,,4.5,,9,,9,,0,,0,,0,,0,,0,,,,,
1987/3/8,1987,3,8,,16,,2,,9,,9,,0,,0,,0,,0,,0,,,,,
1987/3/9,1987,3,9,,13,,7.5,,10.3,,7.7,,0,,3.4,,0,,3.4,,0,,,,,
1987/3/10,1987,3,10,,10,,6.5,,8.3,,9.7,,0,,5.5,,0,,5.5,,0,,,,,
1987/3/11,1987,3,11,,12.5,,6.5,,9.5,,8.5,,0,,8.9,,0,,8.9,,0,,,,,
1987/3/12,1987,3,12,,11,,8,,9.5,,8.5,,0,,1.8,,0,,1.8,,0,,,,,
1987/3/13,1987,3,13,,13.5,,8,,10.8,,7.2,,0,,2.3,,0,,2.3,,0,,,,,
1987/3/14,1987,3,14,,13,,5,,9,,9,,0,,0,,0,,0,,0,,,,,
1987/3/15,1987,3,15,,13,,4.5,,8.8,,9.2,,0,,0.8,,0,,0.8,,0,,,,,
1987/3/16,1987,3,16,,10.5,,5.5,,8,,10,,0,,6.1,,0,,6.1,,0,,,,,
1987/3/17,1987,3,17,,11.5,,6,,8.8,,9.2,,0,,3.1,,0,,3.1,,0,,,,,
1987/3/18,1987,3,18,,9.5,,4,,6.8,,11.2,,0,,0,,0,,0,,0,,,,,
1987/3/19,1987,3,19,,10.5,,0.5,,5.5,,12.5,,0,,1.3,,0,,1.3,,0,,,,,
1987/3/20,1987,3,20,,11.5,,3,,7.3,,10.7,,0,,0,,0,,0,,0,,,,,
1987/3/21,1987,3,21,,15,,2,,8.5,,9.5,,0,,0,,0,,0,,0,,,,,
1987/3/22,1987,3,22,,15,,1.5,,8.3,,9.7,,0,,0,T,0,,0,T,0,,,,,
1987/3/23,1987,3,23,,11,,7,,9,,9,,0,,0,T,0,,0,T,0,,,,,
1987/3/24,1987,3,24,,12,,6,,9,,9,,0,,0,,0,,0,,0,,,,,
1987/3/25,1987,3,25,,9,,4.5,,6.8,,11.2,,0,,3.2,,0,,3.2,,0,,,,,
1987/3/26,1987,3,26,,11.5,,5,,8.3,,9.7,,0,,0,,0,,0,,0,,,,,
1987/3/27,1987,3,27,,11,,3.5,,7.3,,10.7,,0,,0,,0,,0,,0,,,,,
1987/3/28,1987,3,28,,14,,0.5,,7.3,,10.7,,0,,0,,0,,0,,0,,,,,
1987/3/29,1987,3,29,,15,,1.5,,8.3,,9.7,,0,,0,,0,,0,,0,,,,,
1987/3/30,1987,3,30,,16,,1.5,,8.8,,9.2,,0,,0,,0,,0,,0,,,,,
1987/3/31,1987,3,31,,19.5,,5,,12.3,,5.7,,0,,0,,0,,0,,0,,,,,
1987/4/1,1987,4,1,,24,,5.5,,14.8,,3.2,,0,,0,,0,,0,,0,,,,,
1987/4/2,1987,4,2,,22,,8,,15,,3,,0,,0,,0,,0,,0,,,,,
1987/4/3,1987,4,3,,11.5,,7.5,,9.5,,8.5,,0,,10,,0,,10,,0,,,,,
1987/4/4,1987,4,4,,13,,8,,10.5,,7.5,,0,,0,,0,,0,,0,,,,,
1987/4/5,1987,4,5,,15.5,,6.5,,11,,7,,0,,2.6,,0,,2.6,,0,,,,,
1987/4/6,1987,4,6,,13.5,,8,,10.8,,7.2,,0,,1.4,,0,,1.4,,0,,,,,
1987/4/7,1987,4,7,,14,,3.5,,8.8,,9.2,,0,,2.6,,0,,2.6,,0,,,,,
1987/4/8,1987,4,8,,12,,7,,9.5,,8.5,,0,,0,T,0,,0,T,0,,,,,
1987/4/9,1987,4,9,,11.5,,3.5,,7.5,,10.5,,0,,8.7,,0,,8.7,,0,,,,,
1987/4/10,1987,4,10,,13.5,,7,,10.3,,7.7,,0,,4.5,,0,,4.5,,0,,,,,
1987/4/11,1987,4,11,,12,,5,,8.5,,9.5,,0,,1.5,,0,,1.5,,0,,,,,
1987/4/12,1987,4,12,,12.5,,4,,8.3,,9.7,,0,,0,,0,,0,,0,,,,,
1987/4/13,1987,4,13,,16,,6.5,,11.3,,6.7,,0,,7.7,,0,,7.7,,0,,,,,
1987/4/14,1987,4,14,,16,,8.5,,12.3,,5.7,,0,,0,T,0,,0,T,0,,,,,
1987/4/15,1987,4,15,,10.5,,9,,9.8,,8.2,,0,,23.7,,0,,23.7,,0,,,,,
1987/4/16,1987,4,16,,14,,8,,11,,7,,0,,0,,0,,0,,0,,,,,
1987/4/17,1987,4,17,,12,,2.5,,7.3,,10.7,,0,,1.6,,0,,1.6,,0,,,,,
1987/4/18,1987,4,18,,11,,3,,7,,11,,0,,0,,0,,0,,0,,,,,
1987/4/19,1987,4,19,,12,,2,,7,,11,,0,,0,,0,,0,,0,,,,,
1987/4/20,1987,4,20,,12.5,,1.5,,7,,11,,0,,0,T,0,,0,T,0,,,,,
1987/4/21,1987,4,21,,15,,7,,11,,7,,0,,0,,0,,0,,0,,,,,
1987/4/22,1987,4,22,,16,,4,,10,,8,,0,,0,,0,,0,,0,,,,,
1987/4/23,1987,4,23,,16,,6.5,,11.3,,6.7,,0,,0,,0,,0,,0,,,,,
1987/4/24,1987,4,24,,12.5,,5,,8.8,,9.2,,0,,0,,0,,0,,0,,,,,
1987/4/25,1987,4,25,,16.5,,2.5,,9.5,,8.5,,0,,0,,0,,0,,0,,,,,
1987/4/26,1987,4,26,,22.5,,3,,12.8,,5.2,,0,,0,,0,,0,,0,,,,,
1987/4/27,1987,4,27,,27,,7,,17,,1,,0,,0,,0,,0,,0,,,,,
1987/4/28,1987,4,28,,16.5,,12,,14.3,,3.7,,0,,1.1,,0,,1.1,,0,,,,,
1987/4/29,1987,4,29,,20,,8,,14,,4,,0,,5.9,,0,,5.9,,0,,,,,
1987/4/30,1987,4,30,,15,,11,,13,,5,,0,,28.3,,0,,28.3,,0,,,,,
1987/5/1,1987,5,1,,15,,7.5,,11.3,,6.7,,0,,6.3,,0,,6.3,,0,,,,,
1987/5/2,1987,5,2,,14,,7,,10.5,,7.5,,0,,2.7,,0,,2.7,,0,,,,,
1987/5/3,1987,5,3,,14.5,,7.5,,11,,7,,0,,4.2,,0,,4.2,,0,,,,,
1987/5/4,1987,5,4,,18.5,,10,,14.3,,3.7,,0,,1.3,,0,,1.3,,0,,,,,
1987/5/5,1987,5,5,,22,,6.5,,14.3,,3.7,,0,,0,,0,,0,,0,,,,,
1987/5/6,1987,5,6,,24,,7.5,,15.8,,2.2,,0,,0,,0,,0,,0,,,,,
1987/5/7,1987,5,7,,26,,8,,17,,1,,0,,0,,0,,0,,0,,,,,
1987/5/8,1987,5,8,,24.5,,9.5,,17,,1,,0,,0,,0,,0,,0,,,,,
1987/5/9,1987,5,9,,22.5,,8,,15.3,,2.7,,0,,0,,0,,0,,0,,,,,
1987/5/10,1987,5,10,,23.5,,8.5,,16,,2,,0,,0,,0,,0,,0,,,,,
1987/5/11,1987,5,11,,14,,12,,13,,5,,0,,16.8,,0,,16.8,,0,,,,,
1987/5/12,1987,5,12,,14,,6.5,,10.3,,7.7,,0,,0,,0,,0,,0,,,,,
1987/5/13,1987,5,13,,17,,6,,11.5,,6.5,,0,,11.2,,0,,11.2,,0,,,,,
1987/5/14,1987,5,14,,16,,11,,13.5,,4.5,,0,,0,,0,,0,,0,,,,,
1987/5/15,1987,5,15,,15,,9,,12,,6,,0,,0,,0,,0,,0,,,,,
1987/5/16,1987,5,16,,19.5,,5,,12.3,,5.7,,0,,0,,0,,0,,0,,,,,
1987/5/17,1987,5,17,,15.5,,6,,10.8,,7.2,,0,,0.3,,0,,0.3,,0,,,,,
1987/5/18,1987,5,18,,13,,6,,9.5,,8.5,,0,,0,T,0,,0,T,0,,,,,
1987/5/19,1987,5,19,,15.5,,5.5,,10.5,,7.5,,0,,0,,0,,0,,0,,,,,
1987/5/20,1987,5,20,,20,,6,,13,,5,,0,,0,,0,,0,,0,,,,,
1987/5/21,1987,5,21,,19.5,,6.5,,13,,5,,0,,0,,0,,0,,0,,,,,
1987/5/22,1987,5,22,,16,,7.5,,11.8,,6.2,,0,,0,,0,,0,,0,,,,,
